index,true_label,pred_label,is_correct,confidence,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
0,7,7,1,0.9999980926513672,6.98919600580078e-13,1.7453523071253585e-09,2.711856850190486e-10,9.907677167575457e-08,2.6173623268732626e-09,3.9261215806218885e-13,5.45186108036057e-19,0.9999980926513672,8.525015762761434e-12,1.737865886752843e-06
1,2,2,1,1.0,8.70358507487623e-10,4.1637320258303134e-09,1.0,4.4095440046927855e-17,1.2845264131880474e-13,2.454643475102507e-19,3.432709574490572e-13,5.871541400499429e-18,9.799380274247427e-13,4.668900133011683e-16
2,1,1,1,1.0,6.658680551385743e-12,1.0,2.479055571935618e-10,1.2607115004725777e-11,4.4245265229392317e-08,2.1462387422843676e-09,4.2934847344078264e-10,3.3701830215449036e-09,9.404597989259855e-09,2.7446192540914183e-10
3,0,0,1,0.9999738931655884,0.9999738931655884,1.4075578810140987e-12,1.2001995841615098e-08,9.392458338863818e-11,5.2430577240913934e-11,4.6005757536882186e-10,2.611937998153735e-05,1.3022911915516744e-10,8.955122754450429e-10,4.169337319837041e-09
4,4,4,1,0.9999916553497314,1.4786469574798455e-12,2.4136777021510625e-09,1.6559397082727134e-12,3.821708472958891e-15,0.9999916553497314,7.667784050931215e-13,2.5951038540306115e-10,3.893827926759741e-09,6.396719265389095e-10,8.331510798598174e-06
5,1,1,1,1.0,4.070957709389339e-13,1.0,4.0899832132179625e-11,6.250382156292034e-13,3.6521288215851655e-09,4.193768249338703e-11,5.971171473939663e-12,4.446588430795373e-09,3.4568015117031337e-10,1.4406520421061941e-10
6,4,4,1,0.9999957084655762,3.829936564243409e-17,6.563019017136185e-10,3.2486853918795022e-12,7.835324224458623e-16,0.9999957084655762,2.902811324645427e-10,1.0554514900951162e-10,2.677249710814067e-08,1.4413661801881972e-06,2.837513193298946e-06
7,9,9,1,0.9999955892562866,2.1651323095506214e-11,2.6593489632631417e-09,1.5665600372472e-08,1.94503479988839e-09,4.435017672221875e-06,1.0260260197014759e-08,3.5312095451487877e-14,8.00861059326724e-13,1.864570542409183e-08,0.9999955892562866
8,5,5,1,0.9983068704605103,4.049962448737787e-11,1.4712484778983182e-15,2.674739803829127e-14,4.78790375402216e-11,4.2169535224845234e-11,0.9983068704605103,0.0014563032891601324,4.416434394843155e-13,6.296139326877892e-05,0.00017387366096954793
9,9,9,1,1.0,6.893385244188522e-20,1.0596807010113904e-16,3.064380245581092e-17,1.6559701526697168e-11,6.6700542866726664e-09,3.37723318549147e-14,9.547868737506136e-21,2.397042841995045e-10,3.4799999687473715e-11,1.0
10,0,0,1,1.0,1.0,1.4291045653659173e-15,1.50038936830299e-09,9.673195404402701e-13,3.051292671221034e-13,7.986729333442355e-12,1.339709176928494e-10,1.316673506335242e-11,3.930908099025743e-10,1.3095275974706055e-08
11,6,6,1,1.0,4.1146773488431876e-11,3.0722065516575192e-12,1.272889514834363e-18,8.067681938589954e-18,9.599130047283815e-16,1.6853451143342135e-12,1.0,9.240274250563284e-23,1.1239786879002622e-11,1.2057170724210756e-19
12,9,9,1,0.9999995231628418,2.555477490740339e-16,1.5765027087596972e-12,8.35633239036973e-15,1.27300586738599e-10,4.152135772983456e-07,4.735653275772522e-12,3.333326904445276e-16,2.3668865978265785e-08,2.2315553849239222e-09,0.9999995231628418
13,0,0,1,1.0,1.0,4.7815009872505254e-15,1.1583959486083373e-10,6.105080091640958e-13,1.696196893878621e-12,9.203826936698967e-12,1.0422154250733229e-09,1.742307166596735e-11,2.9541809970501376e-11,1.1300401503433477e-08
14,1,1,1,0.9999998807907104,6.179896004654406e-13,0.9999998807907104,4.894776858138661e-12,1.1916538866785231e-08,2.0805934752843314e-10,1.6864410667949414e-07,1.241062391743597e-10,1.2386218439797148e-10,3.5929161867898074e-09,2.5241135570563955e-11
15,5,5,1,1.0,2.9983111330647745e-15,6.186157561250503e-17,3.3960899282544515e-17,1.2831338658259028e-08,1.5769265318592513e-17,1.0,3.207401844118607e-10,6.111307293554802e-11,6.8850303062972795e-12,1.0780275283561735e-10
16,9,9,1,0.9999973773956299,3.797609741864466e-13,2.133334134346576e-11,3.606425325475976e-13,6.84735490530386e-10,5.544834635884399e-08,8.702740784960472e-12,1.9126397819322575e-15,2.615624907775782e-06,1.785868786186029e-09,0.9999973773956299
17,7,7,1,0.9999990463256836,9.476406465092069e-11,2.1964270680019382e-11,8.043702509619166e-11,6.696020591334673e-07,1.5518962503957567e-10,3.623007276132295e-12,7.141155176710506e-19,0.9999990463256836,1.4702091811775314e-13,1.889030727397767e-07
18,3,5,0,0.8949334025382996,5.24619099451229e-05,3.9176331512180695e-08,1.807663920772029e-07,0.09368420392274857,8.65238121150469e-08,0.8949334025382996,6.339977699099109e-05,3.828797616733937e-06,0.01103687472641468,0.00022550649009644985
19,4,4,1,1.0,9.387605935670817e-17,7.868269924493632e-10,1.8344494760041963e-12,3.5879730663562965e-16,1.0,3.1671002626021405e-12,1.0377650995485599e-11,2.3309480567945684e-08,8.58138126530461e-12,2.39255530942728e-08
20,9,9,1,0.9999945163726807,1.250209137604319e-11,8.928321970635977e-11,4.1002552048086116e-11,1.7308699398199678e-06,6.711634341627359e-07,4.014133025975752e-09,1.4587355778058857e-14,2.9795126010867534e-06,1.0948445705594168e-08,0.9999945163726807
21,6,6,1,0.9999972581863403,5.352219860886576e-13,3.465999739616526e-15,1.7409138045135783e-15,2.473885591552146e-14,1.0334792917288116e-12,2.7065711947216187e-06,0.9999972581863403,1.4170124919884044e-21,3.9582816191430226e-11,2.007097829950788e-13
22,6,6,1,1.0,5.394295036695307e-13,1.8094795106726735e-10,1.0581401024529167e-19,2.7337095017570986e-18,3.3659009607278634e-11,1.427420356393816e-12,1.0,2.8999328934157015e-19,2.619940289022571e-12,3.7148092357160335e-17
23,5,5,1,1.0,1.0913892470429572e-16,1.8654648260129771e-19,4.969252891724163e-19,3.177322849268194e-10,2.0470721692327507e-17,1.0,4.824551314008829e-10,4.427239383228765e-18,2.9093015228355036e-15,4.695171806901044e-09
24,4,4,1,0.9999659061431885,1.812158170917677e-12,6.797283447212976e-08,2.0743344819607046e-09,3.4376520727241733e-12,0.9999659061431885,1.233085744622997e-09,9.455032312644107e-09,6.377007366609178e-07,4.3104315672337634e-09,3.333589847898111e-05
25,0,0,1,0.9999926090240479,0.9999926090240479,1.1054705328222836e-12,7.96299914895826e-09,2.38927194001759e-12,1.6385474088664864e-09,3.272545776034086e-11,7.338927844102727e-06,5.503294434744399e-12,9.145727730697217e-09,5.463080654521946e-09
26,7,7,1,0.9997918009757996,1.618368911104895e-10,9.366947217870347e-09,1.9714183063790358e-10,2.544339849919197e-07,6.149854669956767e-08,9.71884905887066e-10,7.958092121042478e-16,0.9997918009757996,2.7424436419704046e-12,0.00020789570407941937
27,4,4,1,1.0,3.0053489974746125e-18,2.1081435208625265e-11,3.068122063918169e-14,2.646490750788895e-18,1.0,3.856169161384985e-15,2.985585098306989e-15,1.5828798341499528e-11,1.0176394774595587e-13,3.392978342731112e-08
28,0,0,1,0.9999969005584717,0.9999969005584717,1.4219507793455932e-09,2.3356740257440833e-06,3.6223919863687115e-08,5.8936457492109184e-08,5.798232560749739e-09,2.3007984850664798e-08,3.9788389472050767e-07,1.5016301802006637e-07,1.6916435185976297e-07
29,1,1,1,1.0,4.4682419114532024e-13,1.0,4.4906853235993083e-10,3.4446665519993758e-09,1.3927171416128203e-08,2.3509690194600807e-08,1.4564445482978527e-10,1.5120050989025913e-08,1.1980306524606021e-08,3.3409197630618337e-10
30,3,3,1,0.999996542930603,1.7614288662631122e-13,3.7892426826488523e-13,2.015883120154438e-12,0.999996542930603,1.6756679323184226e-13,6.513880101977065e-09,8.933175282369753e-19,8.409725173186278e-12,2.5553788252086207e-11,3.4116560527763795e-06
31,1,1,1,0.9999997615814209,5.241849163929724e-13,0.9999997615814209,8.627335651434365e-11,8.259028183577044e-11,9.952810131608203e-08,2.723936409765315e-09,8.066320181243647e-12,8.629093173340152e-08,6.678846364849278e-10,2.3119303804719493e-08
32,3,3,1,0.9999998807907104,7.069749906346177e-16,1.0093634261743034e-10,5.7628047299418395e-12,0.9999998807907104,5.255905302994912e-13,1.0493992874671676e-07,3.4012250654971807e-16,6.809175619182373e-13,5.344764630876853e-10,1.724917098044898e-08
33,4,4,1,0.9999971389770508,2.6751022232929245e-06,5.011503989571509e-10,1.8173908244989434e-07,1.5177081961777278e-18,0.9999971389770508,3.824133792984676e-16,1.2354002543180087e-10,4.139903697630842e-11,1.340163982392617e-12,2.1069949170809954e-12
34,7,7,1,0.9999996423721313,1.6934628070501556e-14,4.579180412633832e-08,2.567560741795205e-08,3.83186716135242e-07,2.409523691682125e-10,3.701137432556706e-13,5.666514837058993e-20,0.9999996423721313,2.7111615036323755e-11,8.259714689984321e-09
35,2,2,1,1.0,5.532569844965418e-13,4.2997928134669294e-11,1.0,3.2303958228015184e-13,1.5048924677445814e-16,1.1363635201686083e-17,5.881677671725654e-17,1.8303681487141787e-11,2.492354100880334e-10,9.489079715128274e-14
36,7,7,1,0.9999998807907104,1.2698012525610085e-16,3.438626938745415e-09,1.5251731610987918e-07,3.2459661625239278e-09,5.666166980056175e-10,9.73334771173218e-16,2.4374904310727996e-21,0.9999998807907104,9.706326725440056e-14,1.5642996897824446e-09
37,1,1,1,1.0,3.496168130934056e-14,1.0,2.598699033740104e-12,1.405202690318852e-11,2.0729102878647154e-09,5.681133896651147e-10,2.980406503191868e-12,1.595783771790593e-08,2.2005690325510585e-10,1.7427543852477356e-09
38,2,2,1,0.9999936819076538,1.1881293460191955e-07,6.203440079843858e-06,0.9999936819076538,4.5059800335423006e-10,6.575281985554682e-11,2.3404609955819666e-13,6.57441989737606e-10,3.079747290524182e-10,2.60824197795273e-08,5.854680889399999e-12
