epoch,train_loss,train_acc,val_loss,val_acc,seed,batch_size,learning_rate,hidden_size,num_classes,train_size,val_size
1,0.246720,0.922120,0.072750,0.979000,42,64,0.001,128,10,50000,10000
2,0.071764,0.978240,0.052071,0.985000,42,64,0.001,128,10,50000,10000
3,0.052080,0.984080,0.049324,0.985600,42,64,0.001,128,10,50000,10000
4,0.041224,0.987160,0.046961,0.987100,42,64,0.001,128,10,50000,10000
5,0.031738,0.990240,0.045122,0.987500,42,64,0.001,128,10,50000,10000
6,0.027949,0.991100,0.041032,0.989000,42,64,0.001,128,10,50000,10000
7,0.021945,0.992780,0.036221,0.989800,42,64,0.001,128,10,50000,10000
8,0.019964,0.993400,0.046608,0.988500,42,64,0.001,128,10,50000,10000
9,0.017660,0.993880,0.040505,0.989900,42,64,0.001,128,10,50000,10000
10,0.015288,0.994660,0.040671,0.989900,42,64,0.001,128,10,50000,10000
