epoch,train_loss,train_acc,val_loss,val_acc,seed,batch_size,learning_rate,hidden_size,num_classes,train_size,val_size
1,0.434544,0.860060,0.076082,0.977500,42,64,0.001,128,10,50000,10000
2,0.155392,0.953260,0.057289,0.981900,42,64,0.001,128,10,50000,10000
3,0.122400,0.962960,0.045897,0.986900,42,64,0.001,128,10,50000,10000
4,0.103907,0.968280,0.041131,0.987700,42,64,0.001,128,10,50000,10000
5,0.090261,0.971720,0.036221,0.989100,42,64,0.001,128,10,50000,10000
6,0.080252,0.975360,0.034415,0.989400,42,64,0.001,128,10,50000,10000
7,0.076169,0.976420,0.048746,0.985400,42,64,0.001,128,10,50000,10000
8,0.073088,0.976960,0.033197,0.989400,42,64,0.001,128,10,50000,10000
9,0.067906,0.978920,0.026667,0.990700,42,64,0.001,128,10,50000,10000
10,0.059471,0.982080,0.029654,0.990500,42,64,0.001,128,10,50000,10000
