index,true_label,pred_label,is_correct,confidence,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
0,7,7,1,0.9999710321426392,1.5097004202324626e-10,5.316037032798704e-08,2.048210632210612e-07,2.3899558073026128e-05,3.2546101230712665e-11,1.7232353322071958e-09,5.037608512606131e-19,0.9999710321426392,6.484842884901809e-09,4.864161383011378e-06
1,2,2,1,0.9999998807907104,1.313327686602861e-07,1.1144269951302022e-09,0.9999998807907104,4.752290783116564e-10,1.6737701225011392e-09,3.963510075699617e-12,5.352285725734873e-09,1.9267831774527622e-10,3.2654712267543573e-09,8.569739362584983e-11
2,1,1,1,0.9999983310699463,3.0153886054762324e-09,0.9999983310699463,8.750800084555976e-09,1.1717046777270923e-10,7.924892315713805e-07,5.4600310051000633e-08,4.8930588469886516e-09,7.811781870259438e-07,4.2903796071414035e-08,1.4924303570751363e-08
3,0,0,1,0.9983933568000793,0.9983933568000793,4.5341225218820114e-10,9.924232244884479e-07,1.3388827824201144e-08,1.847535031629377e-06,5.051226708019385e-07,0.0012766735162585974,2.9441715732048124e-09,2.622314241307322e-05,0.0003003436140716076
4,4,4,1,0.9999873638153076,1.1275951727895972e-08,2.6131381218874594e-06,5.433998140347285e-08,7.078720248854253e-11,0.9999873638153076,1.756478695824626e-08,1.6431795302196406e-06,1.7541285757260994e-08,6.27093004368362e-06,2.013004632317461e-06
5,1,1,1,1.0,1.4153656024973316e-10,1.0,8.24980500579997e-11,2.824360537112547e-12,8.074523272227907e-09,1.021926543387508e-09,1.419951656256302e-10,4.727064961684846e-08,3.3882296968101855e-09,1.544221639449006e-09
6,4,4,1,0.9997949004173279,8.801653850198932e-10,2.3230277292896062e-06,2.7419556403174283e-08,6.589371518046783e-13,0.9997949004173279,4.861254176979912e-10,1.540561100910054e-08,2.661532221281959e-07,0.00013372418470680714,6.875795952510089e-05
7,9,9,1,0.9977872371673584,9.363446906718309e-08,1.0013436622102745e-06,7.147053111111745e-05,1.9116101611871272e-05,0.0011125277960672975,2.20210768020479e-05,1.815051753339958e-08,3.970764339555899e-08,0.0009865487227216363,0.9977872371673584
8,5,5,1,0.9974162578582764,8.336930035213186e-10,9.692434410624173e-09,5.072690267837743e-09,2.531334928335127e-07,7.362179843539707e-08,0.9974162578582764,0.002483196323737502,5.987504381188558e-10,9.976806177292019e-05,4.288642685423838e-07
9,9,9,1,0.9997323155403137,6.182003797761126e-09,1.695034868021139e-08,1.3773987461718207e-07,1.8709384903559112e-06,1.973378675756976e-05,3.5132777043145325e-07,1.8873598864321828e-11,0.00020670767116826028,3.888684659614228e-05,0.9997323155403137
10,0,0,1,0.9999709129333496,0.9999709129333496,2.501424241352357e-11,3.1755796499055577e-06,4.926399843618867e-10,6.743924307883731e-10,1.4458244601556203e-09,1.1730802107479121e-08,2.9310269766824604e-08,1.0443750397826079e-07,2.571673940110486e-05
11,6,6,1,0.9999943971633911,6.814953508182953e-07,5.086400322196899e-14,1.2759886029722889e-11,2.261217302540041e-14,2.126757436826665e-08,5.752041953854814e-09,0.9999943971633911,7.852983901879365e-20,4.920918854622869e-06,9.227619779395013e-10
